Customer ID,Customer Tenure (years),Deposit Balance ($),Gross Monthly Income ($),BNPL Amount 3m ($),BNPL Amount 6m ($),BNPL Amount 9m ($),BNPL Amount 12m ($),Overdraft History,FICO Score,Current Credit Obligations ($),Payment Timeliness 30+,Payment Timeliness 60+,Payment Timeliness 90+,Debt Write-off,Credit Inquiries,Years Since Bankruptcy,Employment Status,Open Credit Accounts
52,4,6513.607339112794,2887.59,291.29783088692125,775.4971245878437,0,1472.317196860232,2,606.5834399102793,16263.380283567882,0,0,1,1,0,NA,Unemployed,6
53,4,233.98882585600222,4715.56,0,0,0,0,0,743.5665048319831,879.3694895704268,0,0,0,0,1,NA,Unemployed,1
54,7,6254.457485552966,3942.11,0,0,0,0,0,706.8302071239481,14474.136048059021,2,2,0,0,1,NA,Unemployed,5
55,1,3261.027001341532,3373.86,0,0,0,0,0,745.5751266861712,7973.48278308573,0,0,0,0,2,NA,Employed,4
56,6,5217.44668288455,2487.11,0,0,0,0,0,619,11235.614202056684,0,0,0,0,1,3,Employed,8
57,6,4355.604454072439,3028.16,0,0,0,0,1,642.9007513858397,4984.311693506076,2,1,0,0,2,NA,Student,3
58,3,4846.990766660604,3122.86,0,0,0,0,1,556.3990337821572,15299.477235525692,3,1,1,1,1,NA,Employed,10
59,3,6843.167053729142,4392.87,0,0,0,0,0,735.9365761113787,15324.371109639338,2,0,0,0,2,NA,Employed,8
60,5,5644.006598311375,3546.37,0,0,0,0,0,710.8875519273361,20533.286290626333,1,0,0,0,1,NA,Retired,10
61,6,3975.1215593204915,3068.61,0,0,0,0,0,767.834744338052,29.822189737741837,0,0,0,0,0,NA,Student,1
62,10,5228.493896819548,2857.89,0,0,0,0,1,648.8377507861068,13908.120757508645,1,1,0,0,1,NA,Student,7
63,6,6794.605142961313,1298.74,0,0,0,0,0,714.426277221525,14326.426743132171,0,0,0,0,1,NA,Retired,7
64,5,6057.323728485706,2453.83,397.7514740478162,457.61478040504323,1297.111267814013,575.0082492708899,0,647.1228108336168,10916.204894166829,2,0,2,0,0,NA,Employed,7
65,7,2085.0950693687596,2630.12,0,0,0,0,0,645.2444545641954,11989.245218293892,2,2,1,1,1,NA,Employed,5
66,3,0,2140.63,0,0,0,0,0,661.1121891855006,14793.019127045098,0,0,0,0,2,NA,Employed,7
67,4,5758.416103889834,4472.96,0,0,0,0,0,692.0273443443722,8230.719469768961,2,0,0,0,0,NA,Employed,3
68,7,4270.497053737136,4423.64,0,0,0,0,1,752.8158536186172,7705.788091511337,0,0,0,0,3,NA,Employed,4
69,6,5810.0883609641205,2433.02,0,0,0,0,2,729.1739190893181,7341.023262951951,2,0,0,0,0,NA,Employed,3
70,3,5627.507047446638,3791.7,0,0,0,0,0,643.7765078541586,2149.434956858257,1,1,0,0,3,NA,Employed,2
71,2,4066.636982101163,3737.66,0,0,0,0,0,603.0704419158775,14299.967328097964,2,2,0,0,2,NA,Employed,8
72,3,5746.211993678595,3422.91,729.8993800456738,824.3160987841536,800.7013615275048,813.4893385564985,3,639.4050502918172,17595.48582260423,1,0,1,0,0,NA,Employed,8
73,3,6154.032538455,4859.45,0,0,0,0,0,636.8488635988356,5284.721805468133,1,0,0,0,1,NA,Unemployed,3
74,5,6928.181068618731,1659.23,0,0,0,0,0,657.726156739979,12668.578532605225,0,0,0,0,0,NA,Employed,8
75,3,5200.019530868261,3041.41,0,0,0,0,0,716.4089528807782,18098.352322081708,1,1,0,0,1,NA,Student,8
76,6,3251.091399775084,4317.83,0,0,0,0,0,737.1129388805699,23376.622930745838,0,0,0,0,0,NA,Student,10
77,1,4602.596903041682,2516.71,1.7747429914412578,1080.5875910240306,880.3949113010772,362.1964969986874,0,635.7831179328322,16312.984491528972,0,0,3,0,0,NA,Employed,6
78,4,2525.921750840066,2027.06,0,0,0,0,0,650.351298281339,531.7161121606946,0,0,0,0,2,NA,Employed,1
79,5,5275.046710827938,2736.47,777.9358156529945,863.2285418528713,590.7765668705983,371.6874950303861,0,633.0299683839891,4576.197096078309,2,0,1,1,1,NA,Employed,2
80,0,2133.189431053782,3877.23,0,0,0,0,1,764.2225239683945,18191.99021755288,1,0,0,0,2,NA,Employed,10
81,5,9230.10019912145,3002.7,0,0,0,0,0,571.7149253376875,12720.045649460164,4,2,1,1,0,NA,Employed,7
82,3,1244.091381221766,1849.66,383.3280315413275,252.51203727234923,725.1962092356005,565.0983965092146,1,603.7812146735399,16163.349677228776,1,1,1,0,0,NA,Retired,9
83,4,4755.884838280503,3999.65,491.7190300259354,950.4683834998971,1030.6017870274234,199.70851311143815,0,648.7954284061271,17150.55625003194,2,1,1,0,3,NA,Retired,10
84,6,9048.355815216697,3203.51,0,0,0,0,1,707.2248832212857,11619.557289586723,1,1,0,0,0,NA,Employed,6
85,7,2824.507281088005,3911.85,0,0,0,0,0,695.7620663666506,3167.4639757727427,2,1,1,1,2,NA,Unemployed,2
86,5,3302.240773854718,2228.52,0,0,0,0,1,711.2808028643883,13341.942907814408,1,0,0,0,1,NA,Employed,5
87,3,886.2508518268432,3766.95,592.7101288031992,499.97976881795694,899.9921080458928,675.8752933198202,2,635.4266634595971,1783.2821449782207,1,0,1,1,0,NA,Employed,1
88,2,1961.056665620551,1959.35,0,0,0,0,1,707.1656243921151,10869.688386536,2,1,0,0,0,NA,Employed,7
89,2,2910.3056751418508,3443.88,0,0,0,0,1,726.5130529063103,16404.897059184805,1,0,0,0,0,NA,Employed,10
90,4,1827.5691830269348,3493.87,0,0,0,0,0,615.7920215640764,17365.76643499613,2,1,0,0,0,NA,Retired,7
91,6,5752.459430767204,1396.96,0,0,0,0,0,653.8172341257037,2604.3380918810517,0,0,0,0,0,NA,Employed,1
92,0,7945.078903872394,3880.61,0,0,0,0,1,660,16234.571648109346,0,0,0,0,1,1,Employed,8
93,3,3290.7788239014035,1468.83,0,0,0,0,1,748.2995286645477,17953.001891049233,0,0,0,0,2,NA,Unemployed,9
94,9,2744.3603074379566,1962.51,0,0,0,0,0,665.3943413623284,23064.63722579067,1,0,0,0,1,NA,Employed,9
95,8,7338.44170164483,4266.31,0,0,0,0,2,720.2263519179988,5042.117543409731,3,2,0,0,0,NA,Student,5
96,6,2059.1013941593897,2958.54,0,0,0,0,0,633.858417209175,17551.739109488026,0,0,0,0,0,NA,Student,9
97,4,5697.568261393619,3751.34,0,0,0,0,1,647.5619615713646,3682.496238591253,1,1,0,0,1,NA,Retired,2
98,5,6544.088439852893,3159.6,0,0,0,0,0,644.2652232549946,20737.17314614092,0,0,0,0,0,NA,Retired,9
99,6,9106.850830993053,879.33,648.0627765899453,153.98708076787466,1382.237642538411,761.4417231133376,1,630.3964655176682,4062.734692014882,1,1,2,1,2,NA,Employed,2
100,6,5935.700177614995,1481.35,0,0,0,0,0,619,10085.739208685802,1,1,0,0,3,5,Employed,5
101,6,3340.7420118121563,1926.35,0,0,0,0,0,640.6331192300515,5719.8504279784775,2,1,0,0,0,NA,Employed,4
102,3,7693.052702478952,2509.82,0,0,0,0,1,651.3938655252679,6340.570185304869,0,0,0,0,2,NA,Employed,2
103,3,1760.2415066236204,3667.93,0,0,0,0,0,624.3927365685563,18081.33964657632,1,0,0,0,1,NA,Employed,9
104,4,6092.262618127334,2067.14,0,0,0,0,1,629.7569119148983,16931.276447528115,1,1,0,0,3,NA,Employed,8
105,9,5182.179636119116,2789.9,529.9875959095257,484.75222447996646,499.9505072080895,1311.1595452960062,0,643.4072911555513,16633.550067443164,0,0,0,0,0,NA,Employed,10
106,9,372.4001715206459,3592.73,0,0,0,0,0,731.3688093574378,18566.82666011665,1,0,0,0,1,NA,Unemployed,10
107,6,4864.012536660086,2266.4,0,0,0,0,0,741.8845185741177,2722.4943680956076,1,0,0,0,1,NA,Employed,1
108,6,5796.306568898834,4886.91,0,0,0,0,0,643.5389408822273,9409.281141005267,2,1,0,0,1,NA,Employed,7
109,5,5032.37563384308,2958.93,0,0,0,0,0,724.5436985014693,6976.203215462941,1,1,0,0,2,NA,Student,3
110,0,8084.012773203489,4868.44,0,0,0,0,0,735.9799978974811,18465.96994918467,2,0,0,0,1,NA,Unemployed,9
111,5,4097.8576845687285,2714.85,0,0,0,0,2,735.3226397071318,2117.019999111481,1,0,0,0,1,NA,Employed,1
112,7,2225.4623678365474,1869.34,0,0,0,0,0,728.7878464040364,15900.385472946706,0,0,0,0,0,NA,Retired,7
113,6,4433.965641417632,5021.83,0,0,0,0,1,673.6325318526356,1142.277164938547,0,0,0,0,0,NA,Retired,1
114,5,5346.689055448678,4432.65,0,0,0,0,0,713.3810647659232,10515.527155804786,2,1,1,1,1,NA,Employed,7
115,5,268.3602207326485,4217.5,0,0,0,0,0,716.6154493514132,7056.453282072898,2,1,1,1,1,NA,Employed,3
116,5,4235.535696729799,5493.94,0,0,0,0,0,656.3584101040858,710.2439749589107,1,1,0,0,1,NA,Employed,1
117,0,6277.119975930151,3790.01,0,0,0,0,0,626.2914067416901,8179.159893785698,1,0,0,0,0,NA,Unemployed,4
118,4,4812.643558478763,3116.2,0,0,0,0,0,671.8016400381197,4617.924545514628,1,0,0,0,2,NA,Student,1
119,5,6184.881432894865,3420.01,0,0,0,0,0,726.9588178526035,605.3305000010937,2,0,0,0,1,NA,Employed,1
120,7,8074.32396368318,1259.18,560.4045132041718,913.8040785690127,851.5733770904988,804.4534389600444,2,655.9492110064831,16502.349231258573,0,0,1,0,0,NA,Retired,7
121,4,1350.4344686806712,1038.67,0,0,0,0,1,721.6011829551487,5119.209549387452,1,0,0,0,2,NA,Employed,3
122,4,7840.1726430762355,3432.45,0,0,0,0,0,733.3453405336553,13091.76608148367,1,1,0,0,1,NA,Employed,8
123,5,6448.784757260956,2497.58,0,0,0,0,0,658.5814973859586,8974.66771888817,3,0,0,0,0,NA,Employed,6
124,5,7771.881195641547,3799.5,668.9678178915076,371.90314706887216,1285.8814303026577,1075.317743659669,1,637.4687572403274,6887.643278954956,0,0,1,0,0,NA,Unemployed,2
125,6,6345.4405952106845,2344.28,0,0,0,0,0,722.5445480908468,13113.154945045711,0,0,0,0,0,NA,Retired,6
126,4,5182.600383732236,5102.43,0,0,0,0,1,600.8011274987349,14317.642348178622,2,0,0,0,2,NA,Student,6
127,8,8805.980539283266,2863.46,460.60423709992483,893.8023720464698,1460.1416981925734,1266.832527123166,1,633,16829.419703441486,0,0,1,1,1,5,Employed,8
128,9,4582.669896291974,154.23,0,0,0,0,0,710.308790322101,20915.467490225084,1,1,0,0,2,NA,Employed,9
129,3,1009.1275856632233,5070.05,354.2081868263426,1012.3424385004471,1014.0431084942077,783.9133221740051,1,615.0512796644956,11248.348796894385,0,0,1,0,1,NA,Student,5
130,6,5103.375513127652,3527.03,0,0,0,0,0,727.798859405527,17612.51506384626,1,0,0,0,0,NA,Student,9
131,8,1120.1534039685607,3247.2,420.74237354317654,462.42496563100616,1171.7145438817342,1606.6297197282718,1,607.0032217974627,2955.213947618876,0,0,1,0,2,NA,Employed,2
132,5,7794.0368681634345,2438.04,0,0,0,0,0,619,2729.3798447686445,0,0,0,0,1,3,Employed,1
133,6,2126.311890517838,3814.59,0,0,0,0,0,709.2226688423954,3477.9073642118874,0,0,0,0,0,NA,Employed,3
134,9,7399.0850016455715,3663.74,0,0,0,0,1,727.7211188540816,15416.792990087508,1,0,0,0,1,NA,Retired,10
135,7,3556.1994333152875,4208.6,0,0,0,0,1,682,21217.120158194124,0,0,0,0,0,6,Employed,9
136,5,4288.378773435043,3273.8,0,0,0,0,0,763.2628740893831,18711.074701546167,0,0,0,0,0,NA,Employed,10
137,7,7973.745030807545,2919.38,0,0,0,0,1,645.199771357408,15755.25006542015,4,2,1,1,2,NA,Employed,7
138,2,5955.098722791265,3398.48,807.8069477816857,500.3904384523049,994.0368449946691,1170.8071092721602,0,616.9743053687434,8175.022592192819,1,1,1,0,2,NA,Employed,5
139,7,2259.5515166429823,1355.58,0,0,0,0,1,671.468530412611,4456.385260241183,3,2,1,1,0,NA,Employed,2
140,6,4645.76208495436,3330.89,0,0,0,0,1,720.2061146361425,12456.978570200381,1,0,0,0,1,NA,Employed,7
141,3,4334.881781710708,2756.59,0,0,0,0,1,741.1524365929853,9350.118748134295,0,0,0,0,0,NA,Unemployed,4
142,2,3219.562047700655,5354.44,0,0,0,0,0,714.4896253051562,11650.693130872252,1,0,0,0,1,NA,Employed,8
143,5,6281.432816179861,2782.96,0,0,0,0,0,640.2876647150125,10787.610654427192,0,0,0,0,1,NA,Unemployed,10
144,7,10274.70296474735,3495.49,659.122842586868,1381.7106276151635,532.145116165322,1343.0925589897406,1,629.5612084635704,2768.181094033453,0,0,1,1,2,NA,Unemployed,3
145,6,2798.602882141692,2069.32,0,0,0,0,1,723.1877582216821,6815.39499278179,1,0,0,0,1,NA,Student,3
146,7,4583.85942997394,1904.81,0,0,0,0,1,562.1262886658386,12520.048947247204,3,3,2,1,2,NA,Student,5
147,3,10352.251234232452,1501.06,0,0,0,0,1,633.0889514226486,13961.915233167383,2,0,0,0,2,NA,Employed,6
148,9,5418.820961047534,2160.62,0,0,0,0,0,619,3825.969625416482,0,0,0,0,0,6,Unemployed,1
149,4,4310.549841402959,1350.54,0,0,0,0,1,736.3947488373608,3647.2450099366606,0,0,0,0,0,NA,Employed,1
150,3,4990.931929553218,3288.7,379.1494291473065,663.9858460007862,954.7786616699751,980.7995208968885,0,640.1644268639246,5664.06972662908,1,1,2,1,4,NA,Employed,6
151,6,1662.7455669534484,2683.3,0,0,0,0,0,591.8267796885445,16288.625966821233,2,0,0,0,1,NA,Unemployed,9
152,4,4710.783818981547,1975.04,0,0,0,0,0,672.4007566166187,13363.065588229998,0,0,0,0,0,NA,Employed,6
153,7,2830.4135836324,3646.99,0,0,0,0,2,714.0966701400959,15248.998270421345,0,0,0,0,1,NA,Employed,8
154,4,2507.3747833023176,2929.7,0,0,0,0,1,683.1381648027751,21243.72203772116,0,0,0,0,2,NA,Employed,10
155,6,5442.1883261904595,190.91,0,0,0,0,0,709.6790817704398,13286.333767265209,1,0,0,0,1,NA,Unemployed,6
156,7,3513.69632303546,2000.97,0,0,0,0,1,704.206020336941,5077.086813628459,1,0,0,0,2,NA,Retired,3
157,3,6013.032772265791,3412.67,0,0,0,0,0,601,1992.16483297228,0,0,0,0,4,5,Employed,1
158,1,5893.443395696256,1674.03,0,0,0,0,0,680.2278597710091,5632.794342299654,1,1,0,0,1,NA,Student,3
159,3,5741.720936059557,3422.42,0,0,0,0,1,725.2351571817443,11673.119303851458,1,0,0,0,2,NA,Employed,7
160,6,5263.564443338059,3583.9,0,0,0,0,0,673.5220086244852,3022.832833467608,0,0,0,0,0,NA,Retired,3
161,9,6040.804098464012,1894.63,0,0,0,0,0,733.72845270760115,4481.518827945456,1,0,0,0,2,NA,Employed,2
162,5,2777.2376681106766,2912.92,397.79470545217,828.8319473075933,723.1064159201371,1514.9751402822505,0,637.5619615713646,10641.984955197753,2,1,0,0,0,NA,Retired,6
163,5,2438.2487569284153,3927.06,0,0,0,0,0,687.7812870846857,2676.84871400397,1,1,0,0,0,NA,Employed,1
164,3,3420.8921704266304,3415.9,0,0,0,0,2,704.5041124757917,5464.560551634862,1,1,0,0,2,NA,Unemployed,4
165,5,7271.692703759121,4843.11,0,0,0,0,1,708.0582438725646,16365.926515009109,1,1,0,0,0,NA,Employed,9
166,3,4918.009714509952,3746.78,0,0,0,0,1,719.2446779423948,8998.1856747998645,1,0,0,0,1,NA,Employed,5
167,5,4673.529039802582,3385.28,493.62902492665705,922.4203525928883,718.0765636624621,640.08657620112194,0,623.1087104249821,10785.247935408224,1,1,1,1,0,NA,Retired,5
168,4,4555.061134728794,2336.23,0,0,0,0,1,653.1587682102816,4301.109653923943,4,2,1,1,1,NA,Employed,2
169,2,5205.936298011715,3569.1,0,0,0,0,0,696.9274995527777,9700.687610073697,3,1,1,1,0,NA,Employed,5
170,3,6047.615297581513,413.74,0,0,0,0,0,704.3340216692949,7155.8480209466215,0,0,0,0,2,NA,Employed,3
171,6,5064.477943089325,3540.7,410.668871751576,478.5582489699988,1621.9179897245217,193.62968665848337,0,630.5661412324159,11473.587650792611,2,2,0,1,0,NA,Retired,5
172,4,6960.92553100177,2898.89,0,0,0,0,0,733.1365605058,7093.596577368549,1,0,0,0,1,NA,Employed,4
173,4,7518.907700954688,3097.89,555.8054994756436,771.4282298186945,844.4565697399081,1103.311043828094,1,615.8133351429229,591.259509286027,1,0,1,0,1,NA,Employed,1
174,5,7150.464027015716,3547.84,0,0,0,0,1,730.399817257655,1405.2358169322843,1,1,0,0,0,NA,Employed,1
175,4,5352.852040789086,2761.05,0,0,0,0,3,722.4993813295832,15131.813115924824,0,0,0,0,0,NA,Unemployed,9
176,3,7827.874931650293,3302.22,0,0,0,0,0,711.36602341231,15693.382513371962,2,1,1,1,0,NA,Unemployed,7
177,7,5321.94332252213,3260.92,0,0,0,0,2,748.0254374586027,11271.299832805507,0,0,0,0,0,NA,Employed,6
178,5,5435.135156231792,2113.04,0,0,0,0,0,642.1814101404898,9361.954572233888,1,0,0,0,1,NA,Employed,4
179,7,5250.556654473489,2309.07,0,0,0,0,3,735.2780844603643,8422.748154710765,0,0,0,0,0,NA,Unemployed,5
180,7,6451.348249573074,2323.34,0,0,0,0,0,711.9102662668051,13562.703406063403,0,0,0,0,2,NA,Unemployed,9
181,8,3738.6199046760144,3126.24,0,0,0,0,0,738.0918806253867,14332.792321757954,0,0,0,0,2,NA,Student,7
182,7,3400.98706688342,4308.51,481.0988978046963,885.6076607506866,551.9797810441916,2270.492271425438,1,626.3978368777598,2619.4101559308965,1,0,1,0,0,NA,Employed,2
183,4,8266.05385797476,2999.5,0,0,0,0,1,665.7941601758606,6952.951758105708,1,0,0,0,0,NA,Employed,5
184,3,2286.335754271952,3480.86,0,0,0,0,2,685.8892955490077,3552.0419088538665,3,2,1,1,2,NA,Unemployed,3
185,6,7577.26086453979,2049.07,209.10396424442183,598.6474665557362,687.394518859333,394.96754607394894,1,629.6276149703543,8451.061522519969,1,0,2,0,0,NA,Employed,4
186,6,1772.283568764709,3214.11,0,0,0,0,0,692.3966016661201,12311.85772714751,2,1,1,1,2,NA,Student,5
187,8,8621.527672641587,2838.43,726.8631185823625,778.2665975549944,1015.248241198849,998.2832626097021,0,657.5411714218178,4244.53143222794,0,0,1,1,2,NA,Employed,3
188,7,4884.75379980727,3459.62,0,0,0,0,0,720.8725730517015,17826.034784670832,1,1,0,0,1,NA,Employed,8
189,3,9830.126686464519,1932.77,0,0,0,0,0,712.5242567738859,14243.10168331714,1,1,0,0,2,NA,Employed,9
190,4,5680.480231278147,3509.19,0,0,0,0,1,764.2263519179988,12234.801874236953,0,0,0,0,2,NA,Employed,6
191,3,3783.3665762777055,2786.23,516.4370577962362,671.5005945214094,697.9714518466469,1480.3760720674104,0,649.6494260979804,5947.916009320796,0,0,0,0,1,NA,Employed,2
192,7,6752.270359456166,4705.77,0,0,0,0,1,711.6405216214484,8560.870419387278,0,0,0,0,0,NA,Employed,5
193,3,5528.371350344775,3192.69,0,0,0,0,0,354,9675.560589821946,2,0,0,0,3,0,Employed,5
194,3,6414.816533888288,2219.5,0,0,0,0,1,725.9151905643092,10076.763273991719,0,0,0,0,1,NA,Unemployed,7
195,2,5503.772082372303,3534.42,0,0,0,0,0,663.2570367808908,16812.017553832087,1,0,0,0,0,NA,Retired,8
196,2,7772.120844637575,2714.96,0,0,0,0,1,698,17528.32995949663,0,0,0,0,1,3,Employed,9
197,5,6911.228594713863,1950.15,426.1510358899155,464.0593861900903,1097.2086615837104,1256.562584145458,0,634.5164285701414,1394.1101859594664,3,1,1,0,0,NA,Employed,1
198,2,4205.25671656302,3261.67,0,0,0,0,0,723.4008670115168,3324.4588212090866,0,0,0,0,2,NA,Employed,2
199,6,5474.65458165002,2589.31,0,0,0,0,2,739.0661132886484,3257.0706024641995,0,0,0,0,1,NA,Unemployed,2
200,6,8282.4919785672555,3533.22,0,0,0,0,1,635.9734435749763,18454.802790945305,1,0,0,0,1,NA,Employed,10
201,8,5390.2940847313585,3867.51,0,0,0,0,1,608.6984652618349,12217.061186154606,1,1,1,1,1,NA,Unemployed,6
202,5,7489.850741607163,2481.33,441.75833322904566,746.9999711542356,867.3590603189986,704.1623378462195,0,611.8640492682661,17529.1353570638,2,1,2,0,2,NA,Employed,8
203,7,7213.194878689542,0,0,0,0,0,0,671.5725725272048,3978.064263707977,0,0,0,0,0,NA,Student,2
204,5,5481.428025684959,2606.51,544.845195386857,519.2832321461332,1576.879770181971,1192.7563169406844,1,640.9521538468078,2131.3285327451676,0,0,0,0,0,NA,Employed,1
205,3,6655.798408784765,1920.26,0,0,0,0,1,602.2729423645792,18909.61369886189,2,1,1,1,2,NA,Employed,9
206,5,3905.4353842466885,2914.43,0,0,0,0,0,670.617867699194,14762.150641633407,2,1,0,0,2,NA,Employed,8
