Year,LocationDesc,LocationAbbr,Category,Indicator,Datasource,DataValueUnit,DataValueType,DataValue,DataValueFootnoteSymbol,DataValueFootnote,IndicatorID,LocationID,IndicatorSortOrder,LocationSortOrder,Geolocation,DataValueAlt
2004,Indiana,IN,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,4356325.0,,,WFRS_State_2,18,21,15,"(39.766910452, -86.149960194)",4356325
2008,Kentucky,KY,Water Fluoridation,Rank of state by percent of CWS population receiving fluoridated water,WFRS,,"Rank [1,50]",2.0,e,"Population served by CWS exceeded the U.S. Census state population estimate; number of persons was reduced by the ratio of the population estimate to the CWS population estimate. Use care in comparing the 2008 estimates for the number of persons receiving fluoridated water and persons served by CWS for these states to estimates from 2002, 2004, and 2006 because a different vintage of U.S. Census population estimates was used. The 2008 vintage was used for the 2008 fluoridation statistics, and the 2006 vintage was used for the 2002, 2004, and 2006 statistics.",WFRS_State_4,21,23,18,"(37.645970271, -84.774971048)",2
2012,Wisconsin,WI,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,89.4,,,WFRS_State_1,55,20,50,"(44.393191174, -89.816370742)",89.4
2002,Maryland,MD,Water Fluoridation,Rank of state by percent of CWS population receiving fluoridated water,WFRS,,"Rank [1,50]",8.0,,,WFRS_State_4,24,23,21,"(39.290580964, -76.609260111)",8
2012,South Carolina,SC,Water Fluoridation,Rank of state by percent of CWS population receiving fluoridated water,WFRS,,"Rank [1,50]",9.0,,,WFRS_State_4,45,23,41,"(33.998821303, -81.045371207)",9
2000,Hawaii,HI,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,8.7,"e,g","e: Estimate for percentage has changed from that previously reported due to new methodology or correction of a rounding error. g: Population served by community water systems (CWS) exceeded the U.S. Census state population estimate; number of persons was reduced by the ratio of the population estimate to the CWS population estimate. Use caution in comparing the 2008 estimates for the number of persons receiving fluoridated water and persons served by CWS for these states to estimates from 2002, 2004, and 2006 because a different vintage of U.S. Census population estimates was used.",WFRS_State_1,15,20,12,"(21.304850435, -157.857749403)",8.7
2016,Minnesota,MN,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,4294392.0,,,WFRS_State_2,27,21,24,"(46.355648736, -94.794200503)",4294392
2010,Kentucky,KY,Water Fluoridation,Rank of state by percent of CWS population receiving fluoridated water,WFRS,,"Rank [1,50]",1.0,e,Population served by CWS exceeded the U.S. Census state population estimate; number of persons was reduced by the ratio of the population estimate to the CWS population estimate.,WFRS_State_4,21,23,18,"(37.645970271, -84.774971048)",1
2010,Ohio,OH,Water Fluoridation,Rank of state by percent of CWS population receiving fluoridated water,WFRS,,"Rank [1,50]",16.0,,,WFRS_State_4,39,23,36,"(40.060210141, -82.404260056)",16
2006,Pennsylvania,PA,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,5610873.0,,,WFRS_State_2,42,21,39,"(40.793730152, -77.860700294)",5610873
2000,Louisiana,LA,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,50.6,"e,g","e: Estimate for percentage has changed from that previously reported due to new methodology or correction of a rounding error. g: Population served by community water systems (CWS) exceeded the U.S. Census state population estimate; number of persons was reduced by the ratio of the population estimate to the CWS population estimate. Use caution in comparing the 2008 estimates for the number of persons receiving fluoridated water and persons served by CWS for these states to estimates from 2002, 2004, and 2006 because a different vintage of U.S. Census population estimates was used.",WFRS_State_1,22,20,19,"(31.312660644, -92.445680071)",50.6
2018,Virginia,VA,Water Fluoridation,Total population served by CWS,WFRS,,Population,6934535.0,,,WFRS_State_3,51,22,47,"(37.542680674, -78.457890463)",6934535
2018,Kentucky,KY,Water Fluoridation,Rank of state by percent of CWS population receiving fluoridated water,WFRS,,"Rank [1,50]",1.0,,,WFRS_State_4,21,23,18,"(37.645970271, -84.774971048)",1
2012,Indiana,IN,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,4342273.0,,,WFRS_State_2,18,21,15,"(39.766910452, -86.149960194)",4342273
2018,Maryland,MD,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,4317542.0,,,WFRS_State_2,24,21,21,"(39.290580964, -76.609260111)",4317542
2014,California,CA,Water Fluoridation,Total population served by CWS,WFRS,,Population,38802500.0,"f,g",f: Population served by CWS exceeded the U.S. Census state population estimate; number of persons was reduced by the ratio of the population estimate to the CWS population estimate. g: Complete data were not available from WFRS; State provided additional information.,WFRS_State_3,6,22,5,"(37.638640123, -120.999999538)",38802500
2018,Florida,FL,Water Fluoridation,Total population served by CWS,WFRS,,Population,18714257.0,,,WFRS_State_3,12,22,10,"(28.932040377, -81.928960539)",18714257
2016,Florida,FL,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,14269078.0,,,WFRS_State_2,12,21,10,"(28.932040377, -81.928960539)",14269078
2018,Oklahoma,OK,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,67.5,,,WFRS_State_1,40,20,37,"(35.472031356, -97.521070214)",67.5
2004,Wisconsin,WI,Water Fluoridation,Total population served by CWS,WFRS,,Population,3868775.0,,,WFRS_State_3,55,22,50,"(44.393191174, -89.816370742)",3868775
2014,Colorado,CO,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,74.0,f,Population served by CWS exceeded the U.S. Census state population estimate; number of persons was reduced by the ratio of the population estimate to the CWS population estimate.,WFRS_State_1,8,20,6,"(38.843840757, -106.133610921)",74
2010,Ohio,OH,Water Fluoridation,Total population served by CWS,WFRS,,Population,10005412.0,,,WFRS_State_3,39,22,36,"(40.060210141, -82.404260056)",10005412
2002,Oregon,OR,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,522930.0,,,WFRS_State_2,41,21,38,"(44.567449424, -120.155031326)",522930
2014,District of Columbia,DC,Water Fluoridation,Total population served by CWS,WFRS,,Population,595000.0,,,WFRS_State_3,11,22,9,"(38.890371385, -77.031961127)",595000
2010,Texas,TX,Water Fluoridation,Total population served by CWS,WFRS,,Population,24080084.0,,,WFRS_State_3,48,22,44,"(31.827240407, -99.426770206)",24080084
2006,Mississippi,MS,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,1480601.0,e,Population served by CWS exceeded the U.S. Census state population estimate; number of persons was reduced by the ratio of the population estimate to the CWS population estimate.,WFRS_State_2,28,21,25,"(32.745510099, -89.538030825)",1480601
2008,Arizona,AZ,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,2891937.0,,,WFRS_State_2,4,21,3,"(34.86597028, -111.763811277)",2891937
2002,North Carolina,NC,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,84.6,,,WFRS_State_1,37,20,34,"(35.466220975, -79.159250463)",84.6
2004,Oregon,OR,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,18.8,,,WFRS_State_1,41,20,38,"(44.567449424, -120.155031326)",18.8
2008,Florida,FL,Water Fluoridation,Total population served by CWS,WFRS,,Population,17054168.0,,,WFRS_State_3,12,22,10,"(28.932040377, -81.928960539)",17054168
2002,Vermont,VT,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,310077.0,"e,f",e: Estimate for percentage has changed from that previously reported due to new methodology or correction of a rounding error. f: Complete data were not available from WFRS; state provided additional information.,WFRS_State_2,50,21,46,"(43.625381239, -72.517640791)",310077
2016,Tennessee,TN,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,5382302.0,,,WFRS_State_2,47,21,43,"(35.68094058, -85.774490914)",5382302
2008,South Dakota,SD,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,93.4,e,"Population served by CWS exceeded the U.S. Census state population estimate; number of persons was reduced by the ratio of the population estimate to the CWS population estimate. Use care in comparing the 2008 estimates for the number of persons receiving fluoridated water and persons served by CWS for these states to estimates from 2002, 2004, and 2006 because a different vintage of U.S. Census population estimates was used. The 2008 vintage was used for the 2008 fluoridation statistics, and the 2006 vintage was used for the 2002, 2004, and 2006 statistics.",WFRS_State_1,46,20,42,"(44.353130053, -100.373530637)",93.4
2016,Nebraska,NE,Water Fluoridation,Total population served by CWS,WFRS,,Population,1545849.0,,,WFRS_State_3,31,22,28,"(41.641040988001, -99.365720623)",1545849
2012,Kentucky,KY,Water Fluoridation,Total population served by CWS,WFRS,,Population,4380415.0,f,Population served by CWS exceeded the US Census state population estimate; number of people was reduced by the ratio of the population estimate to the CWS population estimate.,WFRS_State_3,21,22,18,"(37.645970271, -84.774971048)",4380415
2004,Arkansas,AR,Water Fluoridation,Rank of state by percent of CWS population receiving fluoridated water,WFRS,,"Rank [1,50]",32.0,,,WFRS_State_4,5,23,4,"(34.748650124, -92.274490743)",32
2016,New Jersey,NJ,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,14.6,,,WFRS_State_1,34,20,31,"(40.130570048, -74.273691288)",14.6
2010,United States,US,Water Fluoridation,"Total U.S. population, persons",WFRS,,Population,308745538.0,a,"Census Population Count 2010. Intercensal Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2000 to July 1, 2010. Source: Population Estimates Program, U.S. Census Bureau. Internet release date: December 21, 2011. Available at http://www.census.gov/popest/data/intercensal/state/state2010.html.",WFRS_Nat_1,US,1,0,,308745538
2008,Utah,UT,Water Fluoridation,Total population served by CWS,WFRS,,Population,2243157.0,,,WFRS_State_3,49,22,45,"(39.360700171, -111.587130635)",2243157
2018,Minnesota,MN,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,98.8,,,WFRS_State_1,27,20,24,"(46.355648736, -94.794200503)",98.8
2004,Washington,WA,Water Fluoridation,Total population served by CWS,WFRS,,Population,5628782.0,,,WFRS_State_3,53,22,48,"(47.522278629, -120.47001079)",5628782
2002,Montana,MT,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,166523.0,,,WFRS_State_2,30,21,27,"(47.066528972, -109.424420645)",166523
2008,Kentucky,KY,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,3913321.0,e,"Population served by CWS exceeded the U.S. Census state population estimate; number of persons was reduced by the ratio of the population estimate to the CWS population estimate. Use care in comparing the 2008 estimates for the number of persons receiving fluoridated water and persons served by CWS for these states to estimates from 2002, 2004, and 2006 because a different vintage of U.S. Census population estimates was used. The 2008 vintage was used for the 2008 fluoridation statistics, and the 2006 vintage was used for the 2002, 2004, and 2006 statistics.",WFRS_State_2,21,21,18,"(37.645970271, -84.774971048)",3913321
2000,United States,US,Water Fluoridation,Total population served by CWS,WFRS,,Population,249671249.0,e,Estimate for percentage has changed from that previously reported due to new methodology or correction of a rounding error.,WFRS_State_3,US,22,0,,249671249
2010,Wyoming,WY,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,36.8,,,WFRS_State_1,56,20,51,"(43.235541343, -108.109830353)",36.8
2006,Oklahoma,OK,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,2493521.0,,,WFRS_State_2,40,21,37,"(35.472031356, -97.521070214)",2493521
2004,Iowa,IA,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,2373548.0,,,WFRS_State_2,19,21,16,"(42.469400913, -93.816490556)",2373548
2006,New Hampshire,NH,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,42.6,,,WFRS_State_1,33,20,30,"(43.655950113, -71.50036092)",42.6
2016,Michigan,MI,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,89.7,,,WFRS_State_1,26,20,23,"(44.661319543001, -84.71439027)",89.7
2010,Massachusetts,MA,Water Fluoridation,Rank of state by percent of CWS population receiving fluoridated water,WFRS,,"Rank [1,50]",29.0,e,Population served by CWS exceeded the U.S. Census state population estimate; number of persons was reduced by the ratio of the population estimate to the CWS population estimate.,WFRS_State_4,25,23,22,"(42.27687047, -72.082690675)",29
2018,United States,US,Water Fluoridation,Number of CWS providing fluoridated water,WFRS,,Count,17917.0,b,"Reported in CDC Water Fluoridation Reporting System (WFRS). For purposes of this report, a water system is considered a community water system if so designated by the state drinking water administrator in accordance with the regulatory requirements of the U.S. Environmental Protection Agency. A community water system (CWS) supplies water to the same population year-round. It serves at least 25 people at their primary residences or at least 15 residences that are primary residences (for example, municipalities, mobile home park, sub-divisions). http://water.epa.gov/infrastructure/drinkingwater/pws/factoids.cfm",WFRS_Nat_7,US,7,0,,17917
2018,United States,US,Water Fluoridation,Population served by CWS with naturally occurring fluoride at or above optimal levels,WFRS,,Population,12059342.0,"b,c","b: Reported in CDC Water Fluoridation Reporting System (WFRS). For purposes of this report, a water system is considered a community water system if so designated by the state drinking water administrator in accordance with the regulatory requirements of the U.S. Environmental Protection Agency. A community water system (CWS) supplies water to the same population year-round. It serves at least 25 people at their primary residences or at least 15 residences that are primary residences (for example, municipalities, mobile home park, sub-divisions). http://water.epa.gov/infrastructure/drinkingwater/pws/factoids.cfm. e: Fluoridated population divided by population served by community water systems.",WFRS_Nat_11,US,11,0,,12059342
2000,Wisconsin,WI,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,89.3,,,WFRS_State_1,55,20,50,"(44.393191174, -89.816370742)",89.3
2014,Florida,FL,Water Fluoridation,Total population served by CWS,WFRS,,Population,17151024.0,,,WFRS_State_3,12,22,10,"(28.932040377, -81.928960539)",17161354
2014,Connecticut,CT,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,2409333.0,,,WFRS_State_2,9,21,7,"(41.56266102, -72.649840952)",2409333
2010,Idaho,ID,Water Fluoridation,Total population served by CWS,WFRS,,Population,1099561.0,,,WFRS_State_3,16,22,13,"(43.682630005, -114.363730042)",1099561
2014,Virginia,VA,Water Fluoridation,Total population served by CWS,WFRS,,Population,6429902.0,,,WFRS_State_3,51,22,47,"(37.542680674, -78.457890463)",6486523
2004,Connecticut,CT,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,2393487.0,,,WFRS_State_2,9,21,7,"(41.56266102, -72.649840952)",2393487
2002,New Jersey,NJ,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,20.8,,,WFRS_State_1,34,20,31,"(40.130570048, -74.273691288)",20.8
2016,New Mexico,NM,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,1367330.0,,,WFRS_State_2,35,21,32,"(34.520880952, -106.240580985)",1367330
2010,Nebraska,NE,Water Fluoridation,Total population served by CWS,WFRS,,Population,1425929.0,,,WFRS_State_3,31,22,28,"(41.641040988001, -99.365720623)",1425929
2018,Indiana,IN,Water Fluoridation,Total population served by CWS,WFRS,,Population,4996245.0,,,WFRS_State_3,18,22,15,"(39.766910452, -86.149960194)",4996245
2016,California,CA,Water Fluoridation,Rank of state by percent of CWS population receiving fluoridated water,WFRS,,"Rank [1,50]",36.0,g,Complete data were not available from WFRS. State provided additional information,WFRS_State_4,6,23,5,"(37.638640123, -120.999999538)",36
2002,Colorado,CO,Water Fluoridation,Total population served by CWS,WFRS,,Population,4029721.0,e,Estimate for percentage has changed from that previously reported due to new methodology or correction of a rounding error.,WFRS_State_3,8,22,6,"(38.843840757, -106.133610921)",4029721
2008,Texas,TX,Water Fluoridation,Rank of state by percent of CWS population receiving fluoridated water,WFRS,,"Rank [1,50]",24.0,,,WFRS_State_4,48,23,44,"(31.827240407, -99.426770206)",24
2000,Idaho,ID,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,383720.0,,,WFRS_State_2,16,21,13,"(43.682630005, -114.363730042)",383720
2010,Massachusetts,MA,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,4626859.0,e,Population served by CWS exceeded the U.S. Census state population estimate; number of persons was reduced by the ratio of the population estimate to the CWS population estimate.,WFRS_State_2,25,21,22,"(42.27687047, -72.082690675)",4626859
2004,Oklahoma,OK,Water Fluoridation,Total population served by CWS,WFRS,,Population,3392725.0,,,WFRS_State_3,40,22,37,"(35.472031356, -97.521070214)",3392725
2010,Colorado,CO,Water Fluoridation,Rank of state by percent of CWS population receiving fluoridated water,WFRS,,"Rank [1,50]",31.0,e,Population served by CWS exceeded the U.S. Census state population estimate; number of persons was reduced by the ratio of the population estimate to the CWS population estimate.,WFRS_State_4,8,23,6,"(38.843840757, -106.133610921)",31
2004,Indiana,IN,Water Fluoridation,Rank of state by percent of CWS population receiving fluoridated water,WFRS,,"Rank [1,50]",5.0,,,WFRS_State_4,18,23,15,"(39.766910452, -86.149960194)",5
2006,Ohio,OH,Water Fluoridation,Rank of state by percent of CWS population receiving fluoridated water,WFRS,,"Rank [1,50]",16.0,,,WFRS_State_4,39,23,36,"(40.060210141, -82.404260056)",16
2016,West Virginia,WV,Water Fluoridation,Total population served by CWS,WFRS,,Population,1442417.0,,,WFRS_State_3,54,22,49,"(38.665510202, -80.712640135)",1442417
2008,Colorado,CO,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,70.6,e,"Population served by CWS exceeded the U.S. Census state population estimate; number of persons was reduced by the ratio of the population estimate to the CWS population estimate. Use care in comparing the 2008 estimates for the number of persons receiving fluoridated water and persons served by CWS for these states to estimates from 2002, 2004, and 2006 because a different vintage of U.S. Census population estimates was used. The 2008 vintage was used for the 2008 fluoridation statistics, and the 2006 vintage was used for the 2002, 2004, and 2006 statistics.",WFRS_State_1,8,20,6,"(38.843840757, -106.133610921)",70.6
2018,Arizona,AZ,Water Fluoridation,Rank of state by percent of CWS population receiving fluoridated water,WFRS,,"Rank [1,50]",37.0,,,WFRS_State_4,4,23,3,"(34.86597028, -111.763811277)",37
2014,Kansas,KS,Water Fluoridation,Total population served by CWS,WFRS,,Population,2689904.0,,,WFRS_State_3,20,22,17,"(38.3477403, -98.200781227)",2693999
2012,Alaska,AK,Water Fluoridation,Rank of state by percent of CWS population receiving fluoridated water,WFRS,,"Rank [1,50]",41.0,,,WFRS_State_4,2,23,2,"(64.845079957001, -147.722059036)",41
2000,Kansas,KS,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,62.5,,,WFRS_State_1,20,20,17,"(38.3477403, -98.200781227)",62.5
2018,South Dakota,SD,Water Fluoridation,Total population served by CWS,WFRS,,Population,753308.0,,,WFRS_State_3,46,22,42,"(44.353130053, -100.373530637)",753308
2006,Ohio,OH,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,89.3,,,WFRS_State_1,39,20,36,"(40.060210141, -82.404260056)",89.3
2006,Alabama,AL,Water Fluoridation,Rank of state by percent of CWS population receiving fluoridated water,WFRS,,"Rank [1,50]",20.0,e,Population served by CWS exceeded the U.S. Census state population estimate; number of persons was reduced by the ratio of the population estimate to the CWS population estimate.,WFRS_State_4,1,23,1,"(32.840571122, -86.631860762)",20
2010,Arkansas,AR,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,1724131.0,,,WFRS_State_2,5,21,4,"(34.748650124, -92.274490743)",1724131
2016,Pennsylvania,PA,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,54.6,,,WFRS_State_1,42,20,39,"(40.793730152, -77.860700294)",54.6
2002,United States,US,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,172209735.0,e,Estimate for percentage has changed from that previously reported due to new methodology or correction of a rounding error.,WFRS_State_2,US,21,0,,172209735
2002,Virginia,VA,Water Fluoridation,Total population served by CWS,WFRS,,Population,5766757.0,,,WFRS_State_3,51,22,47,"(37.542680674, -78.457890463)",5766757
2008,Colorado,CO,Water Fluoridation,Rank of state by percent of CWS population receiving fluoridated water,WFRS,,"Rank [1,50]",30.0,e,"Population served by CWS exceeded the U.S. Census state population estimate; number of persons was reduced by the ratio of the population estimate to the CWS population estimate. Use care in comparing the 2008 estimates for the number of persons receiving fluoridated water and persons served by CWS for these states to estimates from 2002, 2004, and 2006 because a different vintage of U.S. Census population estimates was used. The 2008 vintage was used for the 2008 fluoridation statistics, and the 2006 vintage was used for the 2002, 2004, and 2006 statistics.",WFRS_State_4,8,23,6,"(38.843840757, -106.133610921)",30
2014,United States,US,Water Fluoridation,Percentage of U.S. population on CWS receiving fluoridated water,WFRS,%,Percent,74.4,d,Fluoridated population divided by population served by community water systems.,WFRS_Nat_5,US,5,0,,74.7
2018,United States,US,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,207426536.0,,,WFRS_State_2,US,21,0,,207426536
2012,New York,NY,Water Fluoridation,Total population served by CWS,WFRS,,Population,18094452.0,,,WFRS_State_3,36,22,33,"(42.827001032, -75.543970427)",18094452
2016,Maine,ME,Water Fluoridation,Total population served by CWS,WFRS,,Population,769362.0,,,WFRS_State_3,23,22,20,"(45.254228894001, -68.985031336)",769362
2016,Indiana,IN,Water Fluoridation,Total population served by CWS,WFRS,,Population,4936187.0,,,WFRS_State_3,18,22,15,"(39.766910452, -86.149960194)",4936187
2014,Massachusetts,MA,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,4750952.0,f,Population served by CWS exceeded the U.S. Census state population estimate; number of persons was reduced by the ratio of the population estimate to the CWS population estimate.,WFRS_State_2,25,21,22,"(42.27687047, -72.082690675)",4750952
2008,Wisconsin,WI,Water Fluoridation,Rank of state by percent of CWS population receiving fluoridated water,WFRS,,"Rank [1,50]",16.0,e,"Population served by CWS exceeded the U.S. Census state population estimate; number of persons was reduced by the ratio of the population estimate to the CWS population estimate. Use care in comparing the 2008 estimates for the number of persons receiving fluoridated water and persons served by CWS for these states to estimates from 2002, 2004, and 2006 because a different vintage of U.S. Census population estimates was used. The 2008 vintage was used for the 2008 fluoridation statistics, and the 2006 vintage was used for the 2002, 2004, and 2006 statistics.",WFRS_State_4,55,23,50,"(44.393191174, -89.816370742)",16
2012,Iowa,IA,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,2555593.0,,,WFRS_State_2,19,21,16,"(42.469400913, -93.816490556)",2555593
2012,Wisconsin,WI,Water Fluoridation,Rank of state by percent of CWS population receiving fluoridated water,WFRS,,"Rank [1,50]",17.0,,,WFRS_State_4,55,23,50,"(44.393191174, -89.816370742)",17
2002,Oklahoma,OK,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,2475081.0,"e,f",e: Estimate for percentage has changed from that previously reported due to new methodology or correction of a rounding error. f: Complete data were not available from WFRS; state provided additional information.,WFRS_State_2,40,21,37,"(35.472031356, -97.521070214)",2475081
2014,New Jersey,NJ,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,14.6,,,WFRS_State_1,34,20,31,"(40.130570048, -74.273691288)",14.7
2016,United States,US,Water Fluoridation,Percentage of U.S. population receiving fluoridated water,WFRS,%,Percent,62.4,"c,e","c: State populations served by CWS reported in WFRS are controlled using a product of the U.S. Census state population estimate and the U.S. Geological Survey’s estimate of the percentages of state populations on public water systems. Populations served by each CWS are controlled proportionately within each state. For details on the population controlling method used, see Calculating Fluoridation Statistics. U.S. Geological Survey: Maupin, M.A., Kenny, J.F., Hutson, S.S., Lovelace, J.K., Barber, N.L., and Linsey, K.S., 2014, Estimated use of water in the United States in 2010: U.S. Geological Survey Circular 1405, 56 p., https://dx.doi.org/10.3133/cir1405 e: Fluoridated population divided by population served by community water systems.",WFRS_Nat_4,US,4,0,,62.4
2006,Iowa,IA,Water Fluoridation,Rank of state by percent of CWS population receiving fluoridated water,WFRS,,"Rank [1,50]",12.0,,,WFRS_State_4,19,23,16,"(42.469400913, -93.816490556)",12
2008,Florida,FL,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,13358020.0,,,WFRS_State_2,12,21,10,"(28.932040377, -81.928960539)",13358020
2014,Indiana,IN,Water Fluoridation,Rank of state by percent of CWS population receiving fluoridated water,WFRS,,"Rank [1,50]",8.0,,,WFRS_State_4,18,23,15,"(39.766910452, -86.149960194)",8
2018,Arkansas,AR,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,2448389.0,,,WFRS_State_2,5,21,4,"(34.748650124, -92.274490743)",2448389
2000,United States,US,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,64.9,e,Estimate for percentage has changed from that previously reported due to new methodology or correction of a rounding error.,WFRS_State_1,US,20,0,,64.9
